"Roles","Chức năng","Các endpoint dự kiến hoặc trigger","Kỹ thuật áp dụng","ID","Priority","Params","Request body","Success status","Response dự kiến","Errors","Acceptance criteria","PR","Estimate note"
"Admin","Xem danh sách user","GET /api/v1/admin/users","JWT + RolesGuard; pagination; indexed filters","ADMIN-USER-01","P0","q email/username <=100; role; status; limit; offset; Authorization","Không có","200","UsersResponse summary không có token/password","400; 401; 403","Filter whitelist; fixed sort; không lộ password hash/token; admin không thấy raw auth token","06","Không cung cấp API đổi role"
"Admin","Xem chi tiết user","GET /api/v1/admin/users/:id","JWT + RolesGuard; response DTO","ADMIN-USER-02","P0","id UUID; Authorization Bearer","Không có","200","AdminUserResponse gồm profile/status và orderCount","400; 401; 403; 404","Dùng count query/batch; không load toàn bộ orders; không trả thông tin auth nhạy cảm","06","Admin detail"
"Admin","Active/inactive user","PATCH /api/v1/admin/users/:id/status","JWT + RolesGuard; state rule; transaction; token revocation","ADMIN-USER-03","P0","id UUID; Authorization Bearer","UserStatusRequest {status:ACTIVE|INACTIVE}","200","AdminUserResponse","400; 401; 403; 404; 409 self-deactivate hoặc PENDING chưa verify","Không tự deactivate; INACTIVE mất quyền dùng token cũ ở request kế tiếp; không đổi role","06","JWT strategy luôn kiểm DB status"
"Admin","Xem danh mục kể cả inactive","GET /api/v1/admin/categories","JWT + RolesGuard; pagination; filter","CAT-02","P0","q<=100; isActive true|false; limit; offset","Không có","200","CategoriesResponse","400 query sai; 401; 403","Admin thấy active/inactive; fixed sort; customer 403","07","Admin list"
"Admin","Tạo danh mục","POST /api/v1/admin/categories","RBAC; DTO; unique slug; migration constraint","CAT-03","P0","Authorization Bearer","CategoryCreateRequest","201","CategoryResponse","400; 401; 403; 409 slug trùng","Không tạo trùng khi request đồng thời; response từ DTO","07","Một category cho nhiều product"
"Admin","Cập nhật danh mục","PATCH /api/v1/admin/categories/:id","RBAC; partial DTO; category lock","CAT-04","P0","id UUID; Authorization Bearer","CategoryPatchRequest; ít nhất một field","200","CategoryResponse","400; 401; 403; 404; 409 slug trùng","Body rỗng bị 400; inactive làm product bên dưới không public/checkout","07","Phối hợp lock với checkout"
"Admin","Xóa danh mục rỗng","DELETE /api/v1/admin/categories/:id","RBAC; FK RESTRICT; exists query","CAT-05","P0","id UUID; Authorization Bearer","Không có","204","NoContent","400; 401; 403; 404; 409 category có bất kỳ product","Chỉ hard-delete khi không có product kể cả archived; không cascade","07","Dùng repository.exists()"
"Admin","Xem tất cả sản phẩm","GET /api/v1/admin/products","RBAC; pagination; query builder","PROD-03","P0","Filter như public cộng isActive; limit; offset","Không có","200","ProductsResponse","400; 401; 403","Có thể xem product/category inactive; fixed sort; count đúng filter","07","Admin list"
"Admin","Tạo sản phẩm","POST /api/v1/admin/products","RBAC; DTO; FK/unique/check constraints","PROD-04","P0","Authorization Bearer","ProductCreateRequest gồm categoryId,name,description,sku,priceVnd,stock,isActive,isFeatured","201","ProductResponse","400; 401; 403; 404 category; 409 SKU trùng/category inactive","Giá/tồn hợp lệ; category active; chưa có ảnh cho đến endpoint upload","07","SKU phải có trong DTO khi implement"
"Admin","Cập nhật sản phẩm/tồn","PATCH /api/v1/admin/products/:id","RBAC; row lock; partial DTO; transaction","PROD-05","P0","id UUID; Authorization Bearer","ProductPatchRequest; ít nhất một field","200","ProductResponse","400; 401; 403; 404; 409 SKU trùng/category inactive","Stock là giá trị tuyệt đối; khóa product trước cập nhật để không ghi đè checkout","07","Không nhận imageId/path"
"Admin","Archive sản phẩm","DELETE /api/v1/admin/products/:id","RBAC; soft delete bằng isActive; row lock","PROD-06","P0","id UUID; Authorization Bearer","Không có","204","NoContent","400; 401; 403; 404","Đặt isActive=false; không hard-delete; lịch sử đơn giữ nguyên","07","DELETE mang nghĩa archive được ghi Swagger"
"Admin","Upload hoặc thay ảnh sản phẩm","POST /api/v1/admin/products/:id/image","Multer/FileInterceptor; signature validation; compensating cleanup; transaction","FILE-02","P0","id UUID; Authorization; multipart field file <=2 MiB JPEG/PNG/WebP","ProductImageUpload binary","200","ProductResponse với image mới","400; 401; 403; 404; 413 quá lớn; 415 sai loại/nội dung","DB lỗi vẫn giữ ảnh cũ; commit xong mới dọn file cũ; server sinh storage key","07","Filesystem không rollback cùng DB"
"Admin","Gỡ ảnh sản phẩm","DELETE /api/v1/admin/products/:id/image","RBAC; transaction metadata; post-commit cleanup","FILE-03","P0","id UUID; Authorization Bearer","Không có","204","NoContent","400; 401; 403; 404 product","Xóa liên kết DB atomic; file chỉ dọn sau commit; gọi khi không có ảnh vẫn 204","07","Không unlink trước commit"
"Customer","Xem giỏ hàng","GET /api/v1/cart","JWT + customer role; batch query; derived totals","CART-01","P0","Authorization Bearer","Không có","200","CartResponse {cart:{items,totalVnd}}","401; 403","Tối đa 20 dòng; available phản ánh active/stock lúc đọc; không N+1","09","Giỏ không giữ stock"
"Customer","Đặt số lượng một sản phẩm trong giỏ","PUT /api/v1/cart/items/:productId","JWT/RBAC; user row lock; upsert; unique constraint","CART-02","P0","productId UUID; Authorization Bearer","SetCartItemRequest {quantity:1..99}","200","CartResponse mới","400; 401; 403; 404 product không visible; 409 vượt stock hoặc 20 dòng","PUT là absolute set; cùng product không tạo dòng trùng; mọi cart write khóa user","09","Muốn bỏ dùng DELETE"
"Customer","Xóa sản phẩm khỏi giỏ","DELETE /api/v1/cart/items/:productId","JWT/RBAC; user row lock; idempotent delete","CART-03","P0","productId UUID; Authorization Bearer","Không có","204","NoContent","400; 401; 403","Dòng không tồn tại vẫn 204; không để lộ giỏ user khác; khóa user giống checkout","09","Idempotent delete"
"Customer","Đặt hàng COD từ giỏ","POST /api/v1/orders","JWT/RBAC; transaction; row locks; snapshot; idempotency; durable notification","ORDER-01","P0","Authorization; Idempotency-Key UUID bắt buộc","CheckoutRequest; không nhận items/price/total/userId/status","201 lần đầu; 200 replay","OrderResponse; Location trỏ cùng order","400; 401; 403; 409 giỏ rỗng/inactive/thiếu tồn/key cùng user khác body","Order/items/history/notification/stock/cart cùng transaction; cùng key+body không tạo trùng; hai user tranh stock=1 chỉ một thành công","10","Luồng rủi ro cao nhất; integration test DB thật"
"Customer","Xem lịch sử đơn của mình","GET /api/v1/orders","JWT/RBAC; ownership query; pagination; index","ORDER-02","P0","status tùy chọn; limit; offset; Authorization","Không có","200","OrdersResponse summary","400; 401; 403","Chỉ đơn của current user; sort createdAt DESC,id DESC; không load items/history vào list","11","Query theo user_id"
"Customer","Xem chi tiết đơn của mình","GET /api/v1/orders/:id","JWT/RBAC; ownership trong WHERE; batch relations","ORDER-03","P0","id UUID; Authorization Bearer","Không có","200","OrderResponse gồm snapshot và history","400; 401; 403; 404 không tồn tại/không thuộc user","Không lộ tồn tại đơn user khác; giá/tên từ snapshot","11","Ownership không chỉ là role"
"Customer","Hủy đơn đang chờ","POST /api/v1/orders/:id/cancel","JWT/RBAC; ownership; order/product locks; transaction","ORDER-04","P0","id UUID; Authorization Bearer","Không có","200","OrderResponse status CANCELLED","400; 401; 403; 404; 409 không còn PENDING","Hoàn tồn đúng một lần; append history; cancel cạnh tranh confirm chỉ một bên thành công","11","Không có email cancel trong MVP"
"Admin","Xem danh sách đơn","GET /api/v1/admin/orders","JWT + RolesGuard; pagination; indexed filters","ORDER-05","P0","status; userId tùy chọn; limit; offset; Authorization","Không có","200","OrdersResponse summary","400; 401; 403","Filter/count đúng; fixed sort; list không kéo items/history","11","Admin query"
"Admin","Xem chi tiết bất kỳ đơn","GET /api/v1/admin/orders/:id","JWT + RolesGuard; relation loading","ORDER-06","P0","id UUID; Authorization Bearer","Không có","200","OrderResponse","400; 401; 403; 404","Customer 403; admin thấy snapshot/history đầy đủ nhưng không có dữ liệu auth nhạy cảm","11","Admin detail"
"Admin","Chuyển trạng thái đơn","PATCH /api/v1/admin/orders/:id/status","RBAC; state machine; order/product locks; transaction; durable notification","ORDER-07","P0","id UUID; Authorization Bearer","OrderStatusRequest: CONFIRMED|REJECTED|COMPLETED; reason chỉ/bắt buộc khi REJECTED","200","OrderResponse","400; 401; 403; 404; 409 transition không hợp lệ","PENDING->CONFIRMED/REJECTED; CONFIRMED->COMPLETED; reject hoàn tồn một lần và tạo mail; mọi transition append history","11","Test confirm/cancel và reject/retry race"
"System","Khôi phục việc gửi email chưa enqueue","@nestjs/schedule mỗi phút: dispatch pending notifications","ScheduleModule; bounded batch; deterministic Bull jobId; observability","SYS-01","P0","Batch tối đa 50; chỉ status PENDING; một scheduler instance MVP","Không áp dụng","Không áp dụng","Log số scanned/enqueued/failed","Redis down giữ PENDING; lượt sau retry; không enqueue SENT/FAILED và không reset retry vô hạn","Mỗi notification pending có thể được queue sau khi Redis phục hồi mà không đổi order","03","Không phải HTTP endpoint; handler unit test trực tiếp"
"System","Gửi email activation/reset/order","Bull worker: process email-notification job","@nestjs/bull; Redis; SMTP adapter; retry/backoff; i18n template; encrypted auth secret","SYS-02","P0","Job payload chỉ notificationId; jobId email-<id>; max 3 attempts","Không áp dụng","Không áp dụng","Notification chuyển SENT hoặc FAILED; log đã lọc","SMTP lỗi retry; SENT bị bỏ qua; không log payload/token; ciphertext dùng khóa riêng","Mail activation/reset/placed/confirmed/rejected xuất hiện trong SMTP thử nghiệm; lỗi cuối thành FAILED; ghi rõ cửa sổ duplicate SMTP","03","Không tuyên bố exactly-once"
"System/Admin local","Tạo dữ liệu demo","CLI: npm run seed -- --profile=demo","Nest application context hoặc DataSource; bcrypt; idempotent upsert; config validation","SYS-03","P0","profile=demo; env DB và mật khẩu demo hợp lệ","Không áp dụng","Exit 0","1 admin; 2 customer; 3 category; 12-20 product gồm out-of-stock/inactive/stock=1","Exit khác 0 nếu config/DB sai; không chạy vào DB không được phép","Chạy hai lần không nhân bản; không reset order/tồn đã phát sinh; đóng context/connection trong finally","05","Không phải endpoint; seed không nằm trong migration"
"Guest/Customer","Lấy link chia sẻ sản phẩm","GET /api/v1/products/:id/share-links","Public product visibility; canonical URL builder; URL encoding; config validation","SHARE-01","P2","id UUID; locale tùy chọn","Không có","200","ShareLinksResponse {canonicalUrl,facebookUrl,xUrl}","400 id sai; 404 product/category không active","Chỉ sinh URL từ public base URL đã cấu hình và dữ liệu server; encode title/url; không nhận redirectUrl từ client","14","Không OAuth và không đăng bài thay user"
"Customer","Mở hoặc lấy conversation support đang hoạt động","POST /api/v1/chat/conversations","JWT/RBAC; transaction; partial unique; ownership","CHAT-01","P2","Authorization Bearer","Không có","200 existing hoặc 201 created","ConversationResponse","401; 403; 409 conversation đang đóng trong transaction cạnh tranh","Một customer có tối đa một conversation OPEN; gọi lặp trả conversation đang mở; customerId lấy từ JWT","15","Text-only support chat"
"Customer","Xem conversation support của mình","GET /api/v1/chat/conversations/me","JWT/RBAC; ownership query; response DTO","CHAT-02","P2","Authorization Bearer","Không có","200","ConversationResponse hoặc data=null nếu chưa có","401; 403","Không trả conversation của customer khác; không lộ dữ liệu account ngoài display name cần thiết","15","Một OPEN conversation/customer"
"Customer/Admin","Xem lịch sử tin nhắn","GET /api/v1/chat/conversations/:id/messages","JWT/RBAC; ownership/assigned admin; cursor pagination; composite index","CHAT-03","P2","id UUID; beforeId tùy chọn; limit 1..50; Authorization","Không có","200","ChatMessagesResponse theo createdAt DESC,id DESC","400; 401; 403; 404 không tồn tại/không có quyền","Customer chỉ đọc conversation của mình; admin đọc conversation support; cursor không lặp/mất message","15","REST là nguồn phục hồi khi reconnect"
"Customer/Admin","Gửi tin nhắn chat","POST /api/v1/chat/conversations/:id/messages","JWT/RBAC; ownership; DTO validation; transaction; WebSocket publish after commit","CHAT-04","P2","id UUID; Authorization Bearer; Idempotency-Key UUID","SendChatMessageRequest {body:1..2000 chars}","201 lần đầu; 200 replay","ChatMessageResponse","400; 401; 403; 404; 409 conversation CLOSED hoặc key khác body","Lưu message trước rồi mới publish; retry cùng sender/key không tạo trùng; senderId lấy từ JWT","15","Không file/typing/presence"
"Admin","Danh sách conversation support","GET /api/v1/admin/chat/conversations","JWT + RolesGuard; status filter; cursor pagination; indexes","CHAT-05","P2","status OPEN|CLOSED; assignedToMe; beforeId; limit 1..50; Authorization","Không có","200","ChatConversationsResponse summary + last message","400; 401; 403","Sort lastMessageAt DESC,id DESC; không N+1 để lấy last message/unread count","15","Admin support inbox"
"Admin","Assign hoặc đóng/mở conversation","PATCH /api/v1/admin/chat/conversations/:id","JWT + RolesGuard; row lock; state validation","CHAT-06","P2","id UUID; Authorization Bearer","UpdateConversationRequest {assignedAdminId?,status? OPEN|CLOSED}; ít nhất một field","200","ConversationResponse","400; 401; 403; 404; 409 transition/assignment conflict","Chỉ ADMIN được assign; CLOSED không nhận message; mọi update dựa trên row đã lock","15","Không cần bảng audit chat riêng trong mock"
"System","Phát sự kiện chat realtime","WebSocket /chat: authenticate; join conversation; chat.message.created","JWT handshake; room authorization; after-commit publish; reconnect via REST","CHAT-07","P2","JWT ở handshake; conversationId; message event","Không áp dụng","WebSocket ack/error","Event chứa ChatMessageResponse tối thiểu","Unauthorized/forbidden/closed conversation trả ack error và không join/publish","Client chỉ join room có quyền; publish sau DB commit; reconnect dùng CHAT-03 để bù event bị lỡ","15","Một app instance; chưa cần Redis WebSocket adapter"
"Customer","Gửi gợi ý sản phẩm mới","POST /api/v1/product-suggestions","JWT/RBAC; DTO validation; ownership","SUGGEST-01","P2","Authorization Bearer","CreateSuggestionRequest {name:2..200,description?:<=2000,categoryName?:<=100}","201","ProductSuggestionResponse status PENDING","400; 401; 403; 409 nội dung pending trùng của cùng user","userId/status/reviewer lấy từ server; create luôn PENDING và chưa tự tạo product","14","Workflow riêng với catalog"
"Customer","Xem các gợi ý của mình","GET /api/v1/product-suggestions","JWT/RBAC; ownership; pagination","SUGGEST-02","P2","status tùy chọn; limit/offset; Authorization","Không có","200","ProductSuggestionsResponse","400; 401; 403","Chỉ trả rows của current user; sort createdAt DESC,id DESC","14","Có reviewReason khi đã review"
"Admin","Danh sách gợi ý sản phẩm","GET /api/v1/admin/product-suggestions","JWT + RolesGuard; status filter; pagination; index","SUGGEST-03","P2","status; userId; keyword; limit/offset; Authorization","Không có","200","ProductSuggestionsResponse summary","400; 401; 403","Filter/count/sort ổn định; list không load dữ liệu user nhạy cảm","14","Admin queue"
"Admin","Xem chi tiết gợi ý sản phẩm","GET /api/v1/admin/product-suggestions/:id","JWT + RolesGuard; relation projection","SUGGEST-04","P2","id UUID; Authorization Bearer","Không có","200","ProductSuggestionDetailResponse","400; 401; 403; 404","Chỉ trả customer id/display name và nội dung cần review; không lộ email/password/token","14","Admin detail"
"Admin","Duyệt hoặc từ chối gợi ý sản phẩm","PATCH /api/v1/admin/product-suggestions/:id/status","JWT + RolesGuard; row lock; state machine","SUGGEST-05","P2","id UUID; Authorization Bearer","ReviewSuggestionRequest {status:APPROVED|REJECTED,reason?:<=500}; reason bắt buộc khi REJECTED","200","ProductSuggestionResponse","400; 401; 403; 404; 409 không còn PENDING","Chỉ PENDING được review; lưu reviewedBy/reviewedAt; gọi lặp không tạo product hay đổi lịch sử","14","Approve không auto-create product"
"Admin","Xem sản phẩm bán chạy","GET /api/v1/admin/statistics/best-selling-products","JWT + RolesGuard; aggregate SQL; date filter; query plan","STAT-01","P2","from/to ISO date; limit 1..100; categoryId tùy chọn; Authorization","Không có","200","BestSellingProductsResponse {productId,name,quantitySold,revenueVnd}","400; 401; 403","Chỉ order COMPLETED trong [from,to); SUM quantity; sort quantity DESC,productId; query không N+1","16","Tên hiện tại để hiển thị; số liệu từ order item snapshot"
"Admin","Xem doanh thu theo tháng/năm","GET /api/v1/admin/statistics/revenue","JWT + RolesGuard; aggregate SQL; timezone; numeric serialization","STAT-02","P2","from/to ISO date; groupBy=month|year; timezone mặc định Asia/Bangkok; Authorization","Không có","200","RevenueSeriesResponse {period,revenueVnd,orderCount}","400; 401; 403","Chỉ COMPLETED; group theo completedAt ở timezone đã chốt; period không có đơn trả 0 nếu trong requested range","16","Không gọi PENDING/CONFIRMED là revenue"
"System","Tạo và gửi báo cáo doanh thu tháng","@nestjs/schedule 00:10 ngày đầu tháng Asia/Bangkok -> MONTHLY_REVENUE notification -> Bull worker","ScheduleModule; aggregate query; durable notification; partial unique; Bull retry/i18n","SYS-04","P2","Kỳ báo cáo là tháng lịch vừa kết thúc; một row mỗi admin ACTIVE","Không áp dụng","Không áp dụng","Notification MONTHLY_REVENUE PENDING rồi SENT/FAILED","DB/Redis/SMTP lỗi được log và retry; không tạo duplicate cùng recipient+period","Chạy lại cùng kỳ không tạo intent trùng; revenue chỉ từ COMPLETED; timezone cố định; mail qua cùng worker SYS-02","16","Cron tạo intent; dispatcher/worker thực thi gửi"

